Business,Type,Locality,Phone 1,Phone 2,Email,Instagram,Website,Source,Verified,Called,Outcome,Follow-up,Notes
Pune Dusk Photography,Photographer,Kothrud,+91 9767998811,+91 8751878777,punedusk@gmail.com,@pune_dusk_photography,punedusk.com,Site footer,Yes,,,,Founded by Abhay Lohokare. 150+ weddings. Strong candid focus.
Mazel Tov Studio,Photographer,Amanora,+91 8910873221,,weddings@mazeltovstudio.in,@mazeltovstudio.in,mazeltovstudio.in,Site footer,Yes,,,,Husband-wife team Sourav & Tani. 10+ years.
Rachna & Niranjan Photography,Photographer,Pune,+91 8983524055,,info@rachnaniranjan.com,@rachnaniranjan_photography,rachnaniranjan.com,Site footer,Yes,,,,Husband-wife duo. Documentary style. India + abroad.
MH12 Weddings,Photographer,Erandwane,+91 8830989454,+91 9762123525,mh12weddings@gmail.com,@mh12_weddings,mh12weddings.com,Site footer,Yes,,,,Pune luxury / destination focus.
Sarang Atre Photography,Photographer,Pune,+91 9960119173,,,@sarangatrephotography,,LBB Pune list,Yes,,,,Locality not specified — verify via IG before call.
Zuber Memon Photography,Photographer,Koregaon Park,+91 9970107177,,,@zubermemonphotography,,LBB Pune list,Yes,,,,
Weddings By Aabha (Aabha Chaubal),Photographer,Pune,+91 9881715326,,,@weddingsbyaabha,,LBB Pune list,Yes,,,,Locality not specified.
Nupur Nanal Images,Photographer,Kothrud,+91 8380849287,,,@nupurnanalimages,,LBB Pune list,Yes,,,,Candid / documentary style.
Monks In Happiness,Photographer,Baner,+91 7498485687,,,@themonksinhappiness,,LBB Pune list,Yes,,,,
Three Little Words,Photographer,Baner,+91 9373500305,,,@threelittlewords.in,,LBB Pune list,Yes,,,,
Pixelworks Photography,Photographer,Balewadi,+91 9284880394,,,@pixelworks_photography,,LBB Pune list,Yes,,,,
Artscape Weddings,Photographer,Karve Nagar,+91 9764640112,,,@artscape_weddings,,LBB Pune list,Yes,,,,
The Picture Patch,Photographer,Pune,+91 9591947566,,,@thepicturepatchindia,,LBB Pune list,Yes,,,,Locality not specified.
Amour Affairs,Photographer,Agarkar Nagar,+91 9921000052,,,@amouraffairs,,LBB Pune list,Yes,,,,
KB Studio Productions,Photographer,Pune (HQ Delhi),+91 9711177034,,Info@kbstudio.in,,kbstudio.in,Site footer,Yes,,,,Multi-city — confirm Pune project handler before pitching.
Visual Krishna,Photographer,Aundh + Alandi/Nigdi/Wagholi,+91 8208031265,,,,visualkrishna.com,Site / search,Yes,,,,WhatsApp number. Pre-wedding focus — may also do main day.
Wedding Planners Pune (WPP by Millennium Weddings),Planner,Koregaon Park,+91 9527987300,,,,weddingplannerspune.com,Site footer,Yes,,,,Address: 2 Gulmohar Court B Ln Koregaon Park.
Shaandaar Events,Planner,Multi-city (verify Pune),+91 9491425000,,,@shaandaarevents,shaandaarevents.com,Site footer,Yes,,,,HQ across multiple cities. Confirm Pune presence on call.
Hitched India,Planner,Ganga Dham (Bibvewadi-Kondhwa Rd),+91 9860056230,+91 9823611790,connect@hitchedindia.com,@hitched.india,hitchedindia.com,Site footer,Yes,,,,Office: 813 Apex Business Court.
Gulmohar Inc,Planner,Baner,,,connect@gulmoharinc.co.in,@gulmohar_inc,gulmoharinc.co.in,Site footer,Partial,,,,Founder Janhavi Vaze. Phone NOT on website — DM on IG first to ask. Avoid the 7448181258 from Knotsbyamp listicle (unverified).
Aishal Weddings,Planner,Kothrud,+91 9764505550,,,@aishal.weddings,aishal.com,Knotsbyamp listicle,Verify,,,,Founder Pritesh. Phone is from Knotsbyamp listicle which had dummy numbers in earlier entries — verify by IG DM or website Contact form before calling.
Weddings by Absolute Concepts,Planner,Erandwane / Baner,+91 9158778887,+91 7722085543,,@weddings_by_absoluteconcepts,absoluteconcepts.in,Knotsbyamp listicle,Yes,,,,Real-looking numbers (not in dummy sequence).
Genesis Inc,Planner,Connaught Place / Bund Garden,+91 9960285741,,,@genesisincindia,,Knotsbyamp listicle,Yes,,,,
Verve Events & Weddings,Planner,Aundh,+91 7798577057,+91 8806220608,,,verveworld.in,Site footer,Yes,,,,Office: Surmani Society opp DAV School Aundh. Instagram couldn't be parsed cleanly — find via website.
Sajja Weddings,Planner,Pune,+91 9028181046,,sajjaweddings@gmail.com,@weddingplannersindia,,Search,Yes,,,,
Our Vision Events,Planner,Kothrud,,,,@ourvisionevents,ourvision.org.in,Knotsbyamp listicle,Verify,,,,Knotsbyamp listed +91-9876543212 which is a dummy/sequential placeholder. DM on IG to get real number.
Luxe Affairs India,Planner,Boat Club Road,,,,@luxe_affairs_india,luxeaffairs.co,Knotsbyamp listicle,Verify,,,,Knotsbyamp listed +91-9876543213 (dummy). DM on IG.
Jim Dandy Events,Planner,FC Road,,,,@jimdandyevents,,Knotsbyamp listicle,Verify,,,,Knotsbyamp listed +91-9876543214 (dummy). Find on IG / Google Maps.
The Perfect Knock Entertainment,Planner,Viman Nagar,,,,,,Knotsbyamp listicle,Verify,,,,Knotsbyamp listed +91-9876543215 (dummy). Find on Google Maps / JustDial.
The Phoenix Vows,Planner,Pune,,,,,,WeddingBazaar listing,Verify,,,,5.0 rating. Starting price ₹3L. Look up phone on JustDial / WedMeGood.
De Square Events and Production,Planner,Anandnagar,,,,,,WeddingBazaar listing,Verify,,,,4.5 rating. Starting price ₹4L.
Insane Experience Events,Planner,Bavdhan Khurd,,,,,,WeddingBazaar listing,Verify,,,,4.5 rating. Starting price ₹2.5L.
Aura Bird Events,Planner,Pimpri-Chinchwad,,,,,,WeddingBazaar listing,Verify,,,,4.5 rating.
Sanskruti Event Management,Planner,Pune,,,,,,WeddingBazaar listing,Verify,,,,
Gatha - A Tale of Events,Planner,Bibwewadi,,,,,,WeddingBazaar listing,Verify,,,,5.0 rating. Lower entry price (₹20k start).
Storytellers,Planner,Pune,,,,,,WeddingBazaar listing,Verify,,,,5.0 rating. Starting price ₹4L.
One Stopper Events,Planner,Pune,,,,,,WeddingBazaar listing,Verify,,,,4.9 rating.
Forever Weddings,Planner,Aundh,,,,,,Search,Verify,,,,Look up via JustDial / IG.
